# Time-averaged data for fix energy_flux
# TimeStep f_11 f_12
701000 -9.33945 8.85681
702000 -8.89626 8.92364
703000 -8.79217 9.21483
704000 -8.98324 8.99012
705000 -8.66656 7.51829
706000 -8.90569 7.50495
707000 -8.81971 6.80674
708000 -9.52743 7.55622
709000 -10.1938 7.29234
710000 -9.8452 6.49708
711000 -9.62464 6.75374
712000 -9.27541 7.2639
713000 -8.37445 7.59756
714000 -8.5209 7.29625
715000 -8.9447 7.54107
716000 -7.9035 6.73561
717000 -8.37062 7.11516
718000 -8.80426 7.30079
719000 -8.41905 7.73689
720000 -9.01943 8.24726
721000 -8.98963 8.21841
722000 -8.63518 8.94817
723000 -7.84343 9.13401
724000 -7.85296 8.686
725000 -7.00858 8.39528
726000 -7.35403 8.54865
727000 -7.83679 8.17731
728000 -8.02823 6.7699
729000 -8.387 6.41151
730000 -8.67673 7.18535
731000 -8.93897 8.65967
732000 -9.52712 8.8883
733000 -8.68626 8.53941
734000 -8.04145 8.26587
735000 -8.1291 7.60871
736000 -8.59673 7.55002
737000 -8.93701 7.45928
738000 -9.89713 8.54028
739000 -9.51066 9.25547
740000 -9.00865 9.70487
741000 -8.72692 10.0261
742000 -7.63235 9.05793
743000 -8.85681 9.42526
744000 -9.22299 9.59156
745000 -9.53058 9.34463
746000 -9.64376 10.0679
747000 -10.316 9.81866
748000 -9.92023 8.50113
749000 -8.78491 8.95433
750000 -8.70555 8.97152
751000 -8.7437 7.93939
752000 -8.85304 6.34737
753000 -9.37438 5.7663
754000 -9.3684 6.62768
755000 -9.80888 7.77842
756000 -9.52038 8.13734
757000 -9.5866 7.89216
758000 -9.94682 8.95228
759000 -9.51018 8.71119
760000 -10.4283 7.86891
761000 -10.6465 8.84436
762000 -10.7425 8.36187
763000 -10.7526 6.89274
764000 -10.6955 7.72556
765000 -10.9794 8.37259
766000 -11.2622 9.35256
767000 -11.0578 8.77713
768000 -10.1017 9.66244
769000 -9.79198 10.6596
770000 -9.84316 10.4817
771000 -9.10376 9.53339
772000 -9.56999 9.26537
773000 -9.09505 8.53015
774000 -8.48699 7.94373
775000 -9.04334 8.28845
776000 -9.85076 8.26045
777000 -10.4958 7.6506
778000 -10.0924 7.48563
779000 -9.85781 7.5229
780000 -9.68826 7.58417
781000 -9.41904 7.76145
782000 -9.32462 8.17647
783000 -8.48212 9.04273
784000 -8.80609 9.28985
785000 -9.66738 9.06719
786000 -9.74404 8.52671
787000 -10.5249 8.83679
788000 -10.4008 8.51444
789000 -11.1188 7.99816
790000 -11.4671 8.14375
791000 -10.8399 7.55151
792000 -11.43 7.31476
793000 -11.1173 7.49165
794000 -11.0838 7.58355
795000 -12.1946 7.90023
796000 -11.5935 9.03358
797000 -10.9798 9.97768
798000 -11.3154 9.83981
799000 -11.6747 9.50756
800000 -11.679 9.18422
801000 -11.4744 8.40511
802000 -11.2405 8.50003
803000 -10.0219 8.07685
804000 -10.9006 7.42526
805000 -10.3892 7.67157
806000 -9.86593 7.07988
807000 -10.4297 6.39773
808000 -11.6165 6.51962
809000 -11.0625 7.34817
810000 -10.8101 7.52957
811000 -11.2129 8.28264
812000 -11.3678 8.70453
813000 -10.8419 8.62461
814000 -10.9974 8.4072
815000 -11.4286 7.91494
816000 -11.8123 7.85532
817000 -11.6532 6.81851
818000 -12.1776 6.23489
819000 -11.8409 6.70596
820000 -11.9364 6.23513
821000 -11.6475 6.88036
822000 -11.9253 7.17757
823000 -12.7302 7.28969
824000 -12.1586 6.57985
825000 -11.8733 6.63557
826000 -12.0235 7.07073
827000 -11.7475 7.11536
828000 -11.5199 8.19559
829000 -11.8809 7.11638
830000 -11.308 7.1403
831000 -11.0297 6.34714
832000 -11.5742 6.70941
833000 -12.2505 7.447
834000 -12.6442 7.34568
835000 -12.4452 7.36539
836000 -12.8501 8.74671
837000 -12.674 9.12871
838000 -12.2737 9.46677
839000 -12.4648 9.42782
840000 -12.281 8.86765
841000 -12.3352 10.2429
842000 -12.2462 11.0224
843000 -12.157 10.6541
844000 -12.2627 10.7627
845000 -12.053 9.95694
846000 -11.1469 10.4571
847000 -11.636 10.2457
848000 -12.2535 10.8285
849000 -12.4688 10.2632
850000 -12.3992 10.5856
851000 -11.6 10.211
852000 -11.797 9.54046
853000 -11.7184 9.52883
854000 -12.9842 9.04854
855000 -12.2515 8.85296
856000 -12.0269 9.01431
857000 -11.9801 9.84967
858000 -12.2229 9.98104
859000 -12.0315 10.7676
860000 -11.8544 10.7794
861000 -13.6364 11.0733
862000 -14.1349 10.5359
863000 -13.8269 10.8567
864000 -12.5113 9.33438
865000 -12.5656 8.41584
866000 -13.3269 8.69472
867000 -13.0494 8.24989
868000 -12.9618 8.44601
869000 -13.8581 8.74277
870000 -12.7051 9.74938
871000 -12.5251 8.2391
872000 -12.5444 8.0785
873000 -12.5321 8.20873
874000 -11.7154 9.44603
875000 -11.7657 9.727
876000 -11.5718 8.97756
877000 -11.2319 8.24956
878000 -12.2105 7.96253
879000 -12.8696 8.0874
880000 -12.5032 9.06985
881000 -12.5788 9.69504
882000 -12.5868 8.65413
883000 -12.7208 9.34465
884000 -13.024 9.2839
885000 -12.7472 8.82227
886000 -11.637 8.91442
887000 -11.0317 8.57508
888000 -11.8404 7.9622
889000 -11.4996 8.60229
890000 -11.3302 9.01977
891000 -11.1092 10.1664
892000 -10.4301 9.37844
893000 -11.3149 9.268
894000 -11.674 9.06348
895000 -11.4537 8.42322
896000 -11.7588 8.25541
897000 -11.8115 7.66751
898000 -11.5375 7.72217
899000 -11.7563 9.1055
900000 -12.7799 8.07634
901000 -12.6519 8.72159
902000 -11.9978 10.0228
903000 -11.1947 9.89426
904000 -11.6258 11.8082
905000 -11.7617 12.4311
906000 -11.9516 11.8346
907000 -12.1087 12.06
908000 -12.1362 12.5816
909000 -11.7183 12.1708
